Participant,Channel,Hardware Channel,Metric,Mean,Std,Day,Experiment,Wavelength,SkinTone,Orientation,Pol
IR_Dark_180_UnPol,Unpolarized_A_Green,C5,PI,,,Day_4,Experiment_3,IR,Dark,180,Un. Pol
IR_Dark_180_UnPol,Unpolarized_A_Red,C2,PI,,,Day_4,Experiment_3,IR,Dark,180,Un. Pol
IR_Dark_180_UnPol,Unpolarized_A_IR,C4,PI,,,Day_4,Experiment_3,IR,Dark,180,Un. Pol
IR_Dark_180_UnPol,Unpolarized_B_Green,C11,PI,,,Day_4,Experiment_3,IR,Dark,180,Un. Pol
IR_Dark_180_UnPol,Unpolarized_B_Red,C8,PI,,,Day_4,Experiment_3,IR,Dark,180,Un. Pol
IR_Dark_180_UnPol,Unpolarized_B_IR,C10,PI,,,Day_4,Experiment_3,IR,Dark,180,Un. Pol
IR_Dark_180_UnPol,Co-Polarized_Green,C13,PI,,,Day_4,Experiment_3,IR,Dark,180,Un. Pol
IR_Dark_180_UnPol,Co-Polarized_Red,C12,PI,,,Day_4,Experiment_3,IR,Dark,180,Un. Pol
IR_Dark_180_UnPol,Co-Polarized_IR,C15,PI,,,Day_4,Experiment_3,IR,Dark,180,Un. Pol
IR_Dark_180_UnPol,Cross-Polarized_Green,C19,PI,,,Day_4,Experiment_3,IR,Dark,180,Un. Pol
IR_Dark_180_UnPol,Cross-Polarized_Red,C18,PI,,,Day_4,Experiment_3,IR,Dark,180,Un. Pol
IR_Dark_180_UnPol,Cross-Polarized_IR,C21,PI,,,Day_4,Experiment_3,IR,Dark,180,Un. Pol
