Participant,Channel,Hardware Channel,Metric,Mean,Std,Day,SkinTone,Speed,Depth,Experiment,Mean PI,Std PI
Fair_Fast_2.5mm,Unpolarized_A_Green,C5,PI,2.310088970287132,4.278188584790966,Day_1,Fair,Fast,2.5mm,Experiment_2,,
Fair_Fast_2.5mm,Unpolarized_A_Red,C2,PI,1.5495419406025386,2.4315844814702827,Day_1,Fair,Fast,2.5mm,Experiment_2,,
Fair_Fast_2.5mm,Unpolarized_A_IR,C4,PI,0.9988508987295014,0.3609521573880377,Day_1,Fair,Fast,2.5mm,Experiment_2,,
Fair_Fast_2.5mm,Unpolarized_B_Green,C11,PI,1.090167094777353,0.969435019684886,Day_1,Fair,Fast,2.5mm,Experiment_2,,
Fair_Fast_2.5mm,Unpolarized_B_Red,C8,PI,0.6558367427525491,0.8699415593978407,Day_1,Fair,Fast,2.5mm,Experiment_2,,
Fair_Fast_2.5mm,Unpolarized_B_IR,C10,PI,0.2088866536108239,0.1834571180325415,Day_1,Fair,Fast,2.5mm,Experiment_2,,
Fair_Fast_2.5mm,Co-Polarized_Green,C13,PI,3.493900814710735,7.33512567976386,Day_1,Fair,Fast,2.5mm,Experiment_2,,
Fair_Fast_2.5mm,Co-Polarized_Red,C12,PI,3.1891014203156725,5.220189356649851,Day_1,Fair,Fast,2.5mm,Experiment_2,,
Fair_Fast_2.5mm,Co-Polarized_IR,C15,PI,3.214801456270021,1.6593851058540583,Day_1,Fair,Fast,2.5mm,Experiment_2,,
Fair_Fast_2.5mm,Cross-Polarized_Green,C19,PI,14.04461784279606,2.273094666283265,Day_1,Fair,Fast,2.5mm,Experiment_2,,
Fair_Fast_2.5mm,Cross-Polarized_Red,C18,PI,14.134434545219191,1.9799028138063688,Day_1,Fair,Fast,2.5mm,Experiment_2,,
Fair_Fast_2.5mm,Cross-Polarized_IR,C21,PI,8.479294843634635,1.1296397431980396,Day_1,Fair,Fast,2.5mm,Experiment_2,,
Fair_Medium_2.5mm,Unpolarized_A_Green,C5,PI,2.097634708151208,1.7122522551388342,Day_1,Fair,Medium,2.5mm,Experiment_2,,
Fair_Medium_2.5mm,Unpolarized_A_Red,C2,PI,1.6889907582095307,0.3366221673070847,Day_1,Fair,Medium,2.5mm,Experiment_2,,
Fair_Medium_2.5mm,Unpolarized_A_IR,C4,PI,1.2825410898024778,0.18188700700785695,Day_1,Fair,Medium,2.5mm,Experiment_2,,
Fair_Medium_2.5mm,Unpolarized_B_Green,C11,PI,1.0449622739447295,0.7002658924285864,Day_1,Fair,Medium,2.5mm,Experiment_2,,
Fair_Medium_2.5mm,Unpolarized_B_Red,C8,PI,0.5258022727342972,0.20400200165237822,Day_1,Fair,Medium,2.5mm,Experiment_2,,
Fair_Medium_2.5mm,Unpolarized_B_IR,C10,PI,0.2086878238275807,0.05124678746133957,Day_1,Fair,Medium,2.5mm,Experiment_2,,
Fair_Medium_2.5mm,Co-Polarized_Green,C13,PI,3.6569624065128052,0.8420386825426335,Day_1,Fair,Medium,2.5mm,Experiment_2,,
Fair_Medium_2.5mm,Co-Polarized_Red,C12,PI,3.4609681735062803,0.6005365130442535,Day_1,Fair,Medium,2.5mm,Experiment_2,,
Fair_Medium_2.5mm,Co-Polarized_IR,C15,PI,4.242261036375162,0.4297812999859952,Day_1,Fair,Medium,2.5mm,Experiment_2,,
Fair_Medium_2.5mm,Cross-Polarized_Green,C19,PI,20.195604370419687,1.5341163879558588,Day_1,Fair,Medium,2.5mm,Experiment_2,,
Fair_Medium_2.5mm,Cross-Polarized_Red,C18,PI,20.074788414729923,1.6101572861743139,Day_1,Fair,Medium,2.5mm,Experiment_2,,
Fair_Medium_2.5mm,Cross-Polarized_IR,C21,PI,11.818338213356418,0.9124481253372125,Day_1,Fair,Medium,2.5mm,Experiment_2,,
